Simpego Home M,224.70,1,1970,8303,2022-04-07,n.v.,63000,13.65,2000, versichert,Hausrat: 110.20,13.65,no promo discount,5 Mio.,500,Privathaftpflicht: 100.85,selceted SB:Alle Selbstbehalte,Glasdeckung:Ja
ELVIA small,234.60,2,1970,8303,2022-04-07,4.7,63000,27.60,2000, versichert,Hausrat: 109.60,27.60,no promo discount,5 Mio.,500,Privathaftpflicht: 97.40,selceted SB:Alle Selbstbehalte,Glasdeckung:Ja
AXA SMALL,235.80,3,1970,8303,2022-04-07,5,63000,11.30,2000, versichert,Hausrat: 117.20,11.30,no promo discount,5 Mio.,500,Privathaftpflicht: 107.30,selceted SB:Alle Selbstbehalte,Glasdeckung:Ja
smile.direct clever,243.20,4,1970,8303,2022-04-07,5,63000,11.60,2000, versichert,Hausrat: 115.80,11.60,no promo discount,5 Mio.,500,Privathaftpflicht: 115.80,selceted SB:Alle Selbstbehalte,Glasdeckung:Ja
Helvetia Privatkundenversicherung,251.80,5,1970,8303,2022-04-07,5.1,63000,15.00,2000, versichert,Hausrat: 143.30,15.00,no promo discount,5 Mio.,400,Privathaftpflicht: 93.50,selceted SB:Alle Selbstbehalte,Glasdeckung:Ja
ELVIA standard,261.50,6,1970,8303,2022-04-07,4.7,63000,28.70,2000, versichert,Hausrat: 119.90,28.70,no promo discount,5 Mio.,300,Privathaftpflicht: 112.90,selceted SB:Alle Selbstbehalte,Glasdeckung:Ja
Generali Minima,266.20,7,1970,8303,2022-04-07,4.9,63000,12.60,2000, versichert,Hausrat: 143.00,12.60,no promo discount,5 Mio.,500,Privathaftpflicht: 110.60,selceted SB:Alle Selbstbehalte,Glasdeckung:Ja
Simpego Home L,267.25,8,1970,8303,2022-04-07,n.v.,63000,15.85,2000, versichert,Hausrat: 138.35,15.85,no promo discount,5 Mio.,200,Privathaftpflicht: 113.05,selceted SB:Alle Selbstbehalte,Glasdeckung:Ja
smile.direct premium,268.40,9,1970,8303,2022-04-07,5,63000,12.80,2000, versichert,Hausrat: 125.10,12.80,no promo discount,10 Mio.,200,Privathaftpflicht: 130.50,selceted SB:Alle Selbstbehalte,Glasdeckung:Ja
Die Mobiliar Minima,277.31,10,1970,8303,2022-04-07,5.4,63000,13.21,2000, versichert,Hausrat: versichert,13.21,no promo discount,5 Mio.,400,Privathaftpflicht: versichert,selceted SB:Alle Selbstbehalte,Glasdeckung:Ja
Migros Versicherungen Premium inkl. Cumulus,279.10,11,1970,8303,2022-04-07,n.v.,63000,13.20,2000, versichert,Hausrat: 147.60,13.20,no promo discount,10 Mio.,500,Privathaftpflicht: 118.30,selceted SB:Alle Selbstbehalte,Glasdeckung:Ja
Simpego Home M,249.25,1,1970,8303,2022-04-07,n.v.,63000,14.85,2000, versichert,Hausrat: 133.55,14.85,no promo discount,5 Mio.,500,Privathaftpflicht: 100.85,selceted SB:0,Glasdeckung:Ja
Simpego Home L,286.45,2,1970,8303,2022-04-07,n.v.,63000,16.75,2000, versichert,Hausrat: 156.65,16.75,no promo discount,5 Mio.,200,Privathaftpflicht: 113.05,selceted SB:0,Glasdeckung:Ja
Simpego Home XL,361.95,3,1970,8303,2022-04-07,n.v.,63000,20.40,2000, versichert,Hausrat: 159.80,20.40,no promo discount,5 Mio.,0,Privathaftpflicht: 181.75,selceted SB:0,Glasdeckung:Ja
Basler Versicherung S,211.50,4,1970,8303,2022-04-07,5,63000,13.10,1000, versichert,Hausrat: versichert,13.10,no promo discount,5 Mio.,500,Privathaftpflicht: versichert,selceted SB:0,Glasdeckung:Ja
ELVIA small,234.60,5,1970,8303,2022-04-07,4.7,63000,27.60,2000, versichert,Hausrat: 109.60,27.60,no promo discount,5 Mio.,500,Privathaftpflicht: 97.40,selceted SB:0,Glasdeckung:Ja
smile.direct clever,253.00,6,1970,8303,2022-04-07,5,63000,12.10,2000, versichert,Hausrat: 125.10,12.10,no promo discount,5 Mio.,500,Privathaftpflicht: 115.80,selceted SB:0,Glasdeckung:Ja
Helvetia Privatkundenversicherung,260.90,7,1970,8303,2022-04-07,5.1,63000,15.50,2000, versichert,Hausrat: 151.90,15.50,no promo discount,5 Mio.,400,Privathaftpflicht: 93.50,selceted SB:0,Glasdeckung:Ja
ELVIA standard,261.50,8,1970,8303,2022-04-07,4.7,63000,28.70,2000, versichert,Hausrat: 119.90,28.70,no promo discount,5 Mio.,300,Privathaftpflicht: 112.90,selceted SB:0,Glasdeckung:Ja
Generali Minima,266.20,9,1970,8303,2022-04-07,4.9,63000,12.60,2000, versichert,Hausrat: 143.00,12.60,no promo discount,5 Mio.,500,Privathaftpflicht: 110.60,selceted SB:0,Glasdeckung:Ja
smile.direct premium,268.40,10,1970,8303,2022-04-07,5,63000,12.80,2000, versichert,Hausrat: 125.10,12.80,no promo discount,10 Mio.,200,Privathaftpflicht: 130.50,selceted SB:0,Glasdeckung:Ja
AXA SMALL,272.20,11,1970,8303,2022-04-07,5,63000,13.00,2000, versichert,Hausrat: 151.90,13.00,no promo discount,5 Mio.,500,Privathaftpflicht: 107.30,selceted SB:0,Glasdeckung:Ja
Simpego Home M,230.05,1,1970,8303,2022-04-07,n.v.,63000,13.95,2000, versichert,Hausrat: 115.25,13.95,no promo discount,5 Mio.,500,Privathaftpflicht: 100.85,selceted SB:200,Glasdeckung:Ja
smile.direct clever,245.80,2,1970,8303,2022-04-07,5,63000,11.80,2000, versichert,Hausrat: 118.20,11.80,no promo discount,5 Mio.,500,Privathaftpflicht: 115.80,selceted SB:200,Glasdeckung:Ja
